ablation,arrival_count,average_communication_delay_s,average_end_to_end_delay_s,average_energy_j,average_reward_per_request,average_slot_crossings,bandit_action_count,bandit_updated,epoch,execution_agent,failure_count,feasible_count,p95_end_to_end_delay_s,processed_request_count,request_count,route_estimate_cache_hits,route_estimate_cache_misses,route_mode_local_count,route_mode_min_cost_max_flow_count,routing_precomputed_nodes,routing_precomputed_slots,routing_route_result_hits,routing_route_result_misses,routing_shortest_path_hits,routing_shortest_path_misses,seed,service_routing_strategy,slot_duration_s,slot_mod,slot_start_time_s,success_rate,task_completion_rate,total_reward
sc_nfv,8,1.7309773114519362,42.41703902320832,1726.779046981538,-18.00288303747225,0.17647058823529413,0,False,1,SCNFVChainingOrbitExecutionAgent,0,8,58.45013858629034,8,8,147,1589,1,67,180,606,68,1589,0,0,44,min_cost_max_flow,10.0,0,0.0,1.0,1.0,-144.023064299778
sc_nfv,1,1.7295524320096827,58.79282060894519,2513.3135810044005,-25.025116392180717,0.09090909090909091,0,False,2,SCNFVChainingOrbitExecutionAgent,0,1,58.79282060894519,1,1,167,1825,,11,180,606,79,1825,0,0,44,min_cost_max_flow,10.0,1,10.0,1.0,1.0,-25.025116392180717
sc_nfv,8,1.4815086480172845,53.814178685321934,2422.33088328272,-22.979070004098407,0.1927710843373494,0,False,3,SCNFVChainingOrbitExecutionAgent,0,8,89.77769999765226,8,8,648,3296,2,81,180,606,161,3297,0,0,44,min_cost_max_flow,10.0,2,20.0,1.0,1.0,-183.83256003278726
sc_nfv,5,1.3703681309974152,47.47098316734099,2124.356907557914,-20.263007411471143,0.08,0,False,4,SCNFVChainingOrbitExecutionAgent,0,5,66.7675596605375,5,5,748,4378,2,48,180,606,211,4379,0,0,44,min_cost_max_flow,10.0,3,30.0,1.0,1.0,-101.31503705735572
sc_nfv,3,1.789198853887463,38.8101224825865,1601.4349568248815,-16.48490996712953,0.08695652173913043,0,False,5,SCNFVChainingOrbitExecutionAgent,0,3,60.572511772413456,3,3,793,4914,,23,180,606,234,4915,0,0,44,min_cost_max_flow,10.0,4,40.0,1.0,1.0,-49.45472990138859
sc_nfv,3,1.5527034510075328,33.957304626294274,1408.493670737394,-14.428018052960148,0.08695652173913043,0,False,6,SCNFVChainingOrbitExecutionAgent,0,3,45.8259814683787,3,3,838,5460,,23,180,606,257,5461,0,0,44,min_cost_max_flow,10.0,5,50.0,1.0,1.0,-43.284054158880444
sc_nfv,2,1.6474091246812106,52.110501225739156,2244.103055498192,-22.190662323594577,0.22727272727272727,0,False,7,SCNFVChainingOrbitExecutionAgent,0,2,74.41416129509669,2,2,884,5934,1,21,180,606,279,5935,0,0,44,min_cost_max_flow,10.0,6,60.0,1.0,1.0,-44.38132464718915
sc_nfv,3,1.2721492553350713,39.39275870045047,1745.41718189259,-16.804353789315744,0.08695652173913043,0,False,8,SCNFVChainingOrbitExecutionAgent,0,3,45.966641033093524,3,3,932,6507,,23,180,606,302,6508,0,0,44,min_cost_max_flow,10.0,7,70.0,1.0,1.0,-50.41306136794723
sc_nfv,2,1.4448016670548087,46.90452408639538,2015.7827496305574,-19.971279284336486,0.09090909090909091,0,False,9,SCNFVChainingOrbitExecutionAgent,0,2,74.13161615543596,2,2,976,6963,,22,180,606,324,6964,0,0,44,min_cost_max_flow,10.0,8,80.0,1.0,1.0,-39.94255856867297
sc_nfv,6,1.3747602639587733,27.28299115006125,1221.517321377781,-11.646106852851169,0.08333333333333333,4,True,10,SCNFVChainingOrbitExecutionAgent,0,6,31.233464236059234,6,6,1048,7901,,36,180,606,364,7932,0,0,44,min_cost_max_flow,10.0,9,90.0,1.0,1.0,-69.87664111710701
sc_nfv,5,1.5915514504643309,44.40441435281259,1904.22552737377,-18.904301057549297,0.17777777777777778,0,False,11,SCNFVChainingOrbitExecutionAgent,0,5,62.52470520692958,5,5,1135,8918,2,43,180,606,409,8949,0,0,44,min_cost_max_flow,10.0,10,100.0,1.0,1.0,-94.52150528774649
sc_nfv,6,1.7392847652108772,44.55002284673354,1740.999748641816,-18.86460898787851,0.19642857142857142,0,False,12,SCNFVChainingOrbitExecutionAgent,0,6,83.80545953735071,6,6,1301,10117,,56,180,606,463,10150,0,0,44,min_cost_max_flow,10.0,11,110.0,1.0,1.0,-113.18765392727104
sc_nfv,5,1.389069907872072,55.040106223125974,2421.8966896152697,-23.46918050301955,0.14545454545454545,0,False,13,SCNFVChainingOrbitExecutionAgent,0,5,79.48615412940045,5,5,1404,11296,2,53,180,606,518,11329,0,0,44,min_cost_max_flow,10.0,12,120.0,1.0,1.0,-117.34590251509775
sc_nfv,5,1.6566012771632164,37.352177133711905,1505.0248800049933,-15.843885781487757,0.15555555555555556,0,False,14,SCNFVChainingOrbitExecutionAgent,0,5,77.78022095964053,5,5,1489,12330,,45,180,606,563,12363,0,0,44,min_cost_max_flow,10.0,13,130.0,1.0,1.0,-79.21942890743878
sc_nfv,6,1.5035155399108602,39.2196440662914,1677.1555742534688,-16.69415097106864,0.13725490196078433,0,False,15,SCNFVChainingOrbitExecutionAgent,0,6,76.53291070703148,6,6,1590,13528,2,49,180,606,614,13561,0,0,44,min_cost_max_flow,10.0,14,140.0,1.0,1.0,-100.16490582641185
sc_nfv,1,1.1832489616981643,19.43904691015345,855.1269084291147,-8.288694909118849,0.3333333333333333,0,False,16,SCNFVChainingOrbitExecutionAgent,0,1,19.43904691015345,1,1,1601,13692,,6,180,606,620,13725,0,0,44,min_cost_max_flow,10.0,15,150.0,1.0,1.0,-8.288694909118849
sc_nfv,7,1.5558287273252467,47.67424843245529,2086.237491179623,-20.32144186768989,0.06451612903225806,0,False,17,SCNFVChainingOrbitExecutionAgent,0,7,83.2352717770874,7,7,1726,15149,1,61,180,606,682,15182,0,0,44,min_cost_max_flow,10.0,16,160.0,1.0,1.0,-142.25009307382925
sc_nfv,3,1.4619895528191107,26.033263460609124,1066.6294652936003,-11.053283063419812,0.08695652173913043,0,False,18,SCNFVChainingOrbitExecutionAgent,0,3,33.63943690905856,3,3,1767,15708,2,21,180,606,705,15741,0,0,44,min_cost_max_flow,10.0,17,170.0,1.0,1.0,-33.159849190259436
sc_nfv,2,1.273547716186286,26.9599163132535,1199.4173986872668,-11.50361696451376,0.08333333333333333,0,False,19,SCNFVChainingOrbitExecutionAgent,0,2,32.27788846741467,2,2,1789,16022,,12,180,606,717,16055,0,0,44,min_cost_max_flow,10.0,18,180.0,1.0,1.0,-23.00723392902752
sc_nfv,3,1.2872137491120208,19.945233618370178,763.0274266697479,-8.43590990334992,0.1111111111111111,4,True,20,SCNFVChainingOrbitExecutionAgent,0,3,27.067707849104153,3,3,1830,16516,2,16,180,606,739,16577,0,0,44,min_cost_max_flow,10.0,19,190.0,1.0,1.0,-25.30772971004976
sc_nfv,4,1.4145781070213321,20.0529762864088,753.5437768062725,-8.473316780647284,0.16666666666666666,0,False,21,SCNFVChainingOrbitExecutionAgent,0,4,23.848185018525157,4,4,1885,17143,2,22,180,606,763,17204,0,0,44,min_cost_max_flow,10.0,20,200.0,1.0,1.0,-33.89326712258914
sc_nfv,1,1.6198816128339122,23.189027720525075,781.0983873593507,-9.744270120625641,0.16666666666666666,0,False,22,SCNFVChainingOrbitExecutionAgent,0,1,23.189027720525075,1,1,1898,17309,,6,180,606,769,17370,0,0,44,min_cost_max_flow,10.0,21,210.0,1.0,1.0,-9.744270120625641
sc_nfv,7,1.4563429542125488,30.867667035092932,1262.4663185236802,-13.104546605151382,0.12280701754385964,0,False,23,SCNFVChainingOrbitExecutionAgent,0,7,67.54064658135985,7,7,2054,18645,1,56,180,606,826,18706,0,0,44,min_cost_max_flow,10.0,22,220.0,1.0,1.0,-91.73182623605967
sc_nfv,5,1.4067237061146671,28.703011070414004,1140.4379272865403,-12.165467184537526,0.14285714285714285,0,False,24,SCNFVChainingOrbitExecutionAgent,0,5,49.08257034228694,5,5,2178,19471,,35,180,606,859,19534,0,0,44,min_cost_max_flow,10.0,23,230.0,1.0,1.0,-60.82733592268763
sc_nfv,8,1.3651911601594586,43.867155044612225,1986.7249591557977,-18.738896993338372,0.14705882352941177,0,False,25,SCNFVChainingOrbitExecutionAgent,0,8,79.2195561834601,8,8,2300,21097,4,64,180,606,927,21160,0,0,44,min_cost_max_flow,10.0,24,240.0,1.0,1.0,-149.91117594670698
sc_nfv,8,1.7748667797120121,29.76883499893554,1163.6452121066557,-12.60572112683821,0.2830188679245283,0,False,26,SCNFVChainingOrbitExecutionAgent,0,8,46.257315372454826,8,8,2391,22461,1,52,180,606,980,22524,0,0,44,min_cost_max_flow,10.0,25,250.0,1.0,1.0,-100.84576901470568
