chain_length,data_gb_between_services,destination_node,input_data_gb,output_data_gb,request_template_id,service_workload_cycles,services,source_node,template_id
5,"[1.761058071189241, 1.9262175295939103, 1.504084904068931, 2.5153677158819367]",30,2.4849919287412456,2.29149789945278,1,"[7256467477.437403, 7321407147.690011, 7154179214.865277, 5059821615.334835, 9556763853.019505]","[20, 15, 11, 1, 29]",8,1
5,"[1.8995831081905408, 2.928704216257241, 2.6390721257388616, 1.8167606282473374]",11,1.7478376574904535,1.9648943153915321,2,"[7154179214.865277, 7082396298.649316, 8309847708.528335, 5165282104.51701, 8329755198.045286]","[11, 27, 13, 19, 25]",45,2
5,"[1.8301462915877753, 3.3433371540834, 1.9555099423166478, 0.5]",47,1.7355139914063726,1.887115050281391,3,"[1878719747.373044, 8703130563.370245, 8703130563.370245, 3233075731.124419, 7154179214.865277]","[17, 9, 9, 21, 11]",9,3
5,"[3.530077037206534, 3.9647929212577364, 1.951579032288814, 1.7101446528109694]",11,1.5160494469082708,2.0301276529597323,4,"[8309847708.528335, 4213243560.9246044, 5677792243.541475, 8703130563.370245, 8703130563.370245]","[13, 12, 2, 9, 9]",25,4
5,"[3.106759388662306, 0.9869197510235224, 2.309991292723272, 2.773976725186709]",3,1.9109045054627243,1.988999756063819,5,"[7082396298.649316, 1878719747.373044, 1672086377.7457628, 5710354618.711077, 8645125133.888445]","[27, 17, 24, 3, 18]",5,5
5,"[0.5, 2.028476568371526, 2.2055326417844485, 2.761430086049403]",32,1.2549096349718498,1.9370913275692123,6,"[9556763853.019505, 4167828196.515054, 4213243560.9246044, 4213243560.9246044, 5059821615.334835]","[29, 28, 12, 12, 1]",30,6
5,"[2.461201819565209, 0.7664588223703823, 1.823122833036342, 1.9753718510324827]",3,2.609571676382532,2.861088132166797,7,"[3233075731.124419, 1909298032.1069832, 1672086377.7457628, 1909298032.1069832, 1909298032.1069832]","[21, 5, 24, 5, 5]",1,7
5,"[2.714501939792133, 1.7073612040095556, 1.8956394706744881, 1.8885482398344304]",11,2.1170076269629408,3.435484650426696,8,"[8645994315.081444, 4192418508.690581, 8645125133.888445, 5710354618.711077, 9105227765.547192]","[6, 4, 18, 3, 26]",1,8
10,"[1.0250609290508792, 1.1636147674636197, 1.6342412487532827, 2.6296850075720606, 1.7502266818403225, 3.1124139275555844, 2.246435253602181, 2.0071582096929035, 1.171872305965616]",6,1.7167623263397567,3.4568913860916095,9,"[5677792243.541475, 6597367333.965998, 8703130563.370245, 1490455243.1645741, 8645125133.888445, 1672086377.7457628, 9105227765.547192, 1490455243.1645741, 8645125133.888445, 7082396298.649316]","[2, 8, 9, 7, 18, 24, 26, 7, 18, 27]",4,9
10,"[1.0231071706074721, 2.634130022613196, 2.618199717388099, 2.101773457072953, 0.5, 1.9441858429724435, 1.4447820839874599, 0.7434565063724927, 2.125878075294525]",22,1.470068716791641,3.063146079244774,10,"[4167828196.515054, 7082396298.649316, 8645125133.888445, 8329755198.045286, 7321407147.690011, 4192418508.690581, 7321407147.690011, 8645994315.081444, 9105227765.547192, 1470924100.6831737]","[28, 27, 18, 25, 15, 4, 15, 6, 26, 16]",7,10
10,"[1.34773252346568, 2.4477151099225916, 2.654858472578317, 1.1396052350951291, 2.6538798067205014, 1.7363994805734986, 2.165521055149388, 1.857844498759731, 1.255894343550306]",3,3.9010305175579796,1.989028255320348,11,"[9556763853.019505, 5710354618.711077, 5059821615.334835, 3233075731.124419, 1490455243.1645741, 1672086377.7457628, 7924159975.156827, 7256467477.437403, 5677792243.541475, 8645125133.888445]","[29, 3, 1, 21, 7, 24, 22, 20, 2, 18]",13,11
10,"[1.4924263574037133, 2.3955409654232396, 3.6471362754544576, 2.0943451882942483, 1.8063572182545427, 2.639567876160588, 1.4361932220192788, 2.4224022454437146, 1.2677277554220576]",8,2.765470722785844,2.630547506280523,12,"[5677792243.541475, 7256467477.437403, 9105227765.547192, 7827927838.6243305, 1878719747.373044, 4167828196.515054, 9105227765.547192, 8645994315.081444, 8703130563.370245, 8329755198.045286]","[2, 20, 26, 23, 17, 28, 26, 6, 9, 25]",4,12
15,"[2.1426916539075194, 2.298042233823293, 0.7096520740864249, 2.0496140927164657, 1.1052063331977233, 2.1557105769439686, 1.4221725895908413, 2.197525240402089, 1.310639720096491, 1.9791706466107808, 3.238211207874307, 2.3176212311233373, 0.5424296665515644, 2.3147673074991224]",13,3.0644799579561304,1.9159962755979327,13,"[8002832657.089496, 1878719747.373044, 1878719747.373044, 9701566959.340002, 5710354618.711077, 8645994315.081444, 8645994315.081444, 5165282104.51701, 7321407147.690011, 8645994315.081444, 7154179214.865277, 8002832657.089496, 7256467477.437403, 1470924100.6831737, 5059821615.334835]","[14, 17, 17, 10, 3, 6, 6, 19, 15, 6, 11, 14, 20, 16, 1]",4,13
15,"[2.554263292205065, 1.9189716644927495, 1.8507693981345263, 0.6276204038139044, 1.1194881834435257, 2.653519656603758, 1.7410770724376856, 2.0265114439910055, 2.5530186799941834, 1.8819870067871396, 1.2044930617291025, 2.0929954423788835, 2.7112018549592523, 1.817958993715631]",4,0.7491469512037827,3.4757431157949097,14,"[9701566959.340002, 3233075731.124419, 8329755198.045286, 3233075731.124419, 5165282104.51701, 1672086377.7457628, 1470924100.6831737, 4192418508.690581, 5710354618.711077, 8645994315.081444, 1470924100.6831737, 1672086377.7457628, 7256467477.437403, 4167828196.515054, 5677792243.541475]","[10, 21, 25, 21, 19, 24, 16, 4, 3, 6, 16, 24, 20, 28, 2]",9,14
