chain_length,cycle,destination_node,epoch,failed_stage,failure_reason,feasible,request_id,reward,slot_mod,source_node,start_time_s,template_id,total_delay_s,total_energy_j
5,1,16,1,,,True,1,-16.022884824212753,0,14,1.367796305686556,6,37.09463781631707,1975.049496143206
15,1,7,1,,,True,2,-38.032577071805804,0,4,9.64543319368173,14,89.75542680907971,3550.677246956538
10,1,4,2,,,True,3,-39.31434766370595,1,37,10.15091316022549,12,91.9366832655375,4232.790595818257
10,1,1,2,,,True,4,-41.891274458868175,1,56,11.251285751915992,12,98.1801673809356,4365.345844156549
15,1,12,3,,,True,8,-59.020690427642386,2,11,20.60847286405422,13,137.84904787794883,6468.452127438076
5,1,7,3,,,True,5,-10.661886403651337,2,1,23.20286627806986,2,25.213114190925065,961.0678788021821
5,1,31,3,,,True,6,-20.50945011121326,2,12,24.54744676720277,5,47.965173615225325,2205.6344418718795
5,1,29,3,,,True,7,-12.953063780579864,2,1,25.834613104685324,7,30.77989173335407,1068.5118120637253
10,1,26,4,,,True,12,-29.424596017508993,3,3,33.75007329064232,10,69.2004215446229,2907.3789994330486
10,1,1,4,,,True,11,-26.655397000175935,3,4,37.04658354039009,9,62.14181856243998,2997.782625333234
5,1,34,4,,,True,9,-21.729229098256642,3,1,37.24540879297074,7,51.15448045776814,2112.394858582308
5,1,1,4,,,True,10,-22.122073880959885,3,9,37.2558170673967,8,51.966710184837204,2225.6496783750063
10,1,3,5,,,True,18,-36.54678621069554,4,37,40.82814126250875,12,85.3129644091674,4036.000745047619
10,1,29,5,,,True,15,-22.858805864979647,4,5,41.18307336972683,10,53.4120497976655,2489.976576522404
10,1,4,5,,,True,17,-41.03691618353395,4,26,43.85754931327255,11,95.88263099617578,4473.106308439396
5,1,16,5,,,True,14,-19.571268759616046,4,12,46.66790179821844,6,46.00234156774572,1950.5535541962677
10,1,27,5,,,True,16,-25.115624184572532,4,5,49.486681552712824,10,59.16166040423896,2418.266704794914
