action,arm_key,cross_orbit_transfer,epoch,estimated_reward,execution_feedback_reward,expected_saving,migration_cost,migration_delay_s,migration_energy_j,migration_route_mode,selected_source_node,service_id,source_node,source_plane,target_node,target_plane
add,"['add', 28, None, 0]",True,10,1.753492605951578,0.0,2.1,0.346507394048422,0.5997292971541723,0.8635438115575463,min_cost_max_flow,129,28,,,1,0
add,"['add', 28, None, 1]",True,10,1.8155933180147525,0.0,2.1,0.28440668198524766,0.44490301697407375,0.5798771596660265,min_cost_max_flow,92,28,,,23,1
add,"['add', 28, None, 2]",True,10,1.8921322856250802,0.0,2.1,0.20786771437491997,0.2534395704947361,0.6572287953450486,min_cost_max_flow,1,28,,,37,2
add,"['add', 28, None, 3]",True,10,1.9395985210947468,0.0,2.1,0.16040147890525316,0.13527026392810004,0.32637405699108396,min_cost_max_flow,37,28,,,55,3
move,"['move', 28, 0, 1]",True,20,1.2338058101492815,0.0,1.6500000000000001,0.4161941898507186,0.723424926381071,1.2111173307860805,min_cost_max_flow,1,28,1,0,24,1
move,"['move', 28, 1, 0]",True,20,1.295735899990637,0.0,1.6500000000000001,0.3542641000093631,0.5687521145307102,1.1095088287674293,min_cost_max_flow,23,28,23,1,1,0
move,"['move', 28, 1, 2]",True,20,1.3831701567901726,0.0,1.6500000000000001,0.2668298432098275,0.35128765859880673,0.3620514508105657,min_cost_max_flow,24,28,24,1,39,2
move,"['move', 28, 2, 0]",True,20,1.3889471065351529,0.0,1.6500000000000001,0.2610528934648472,0.33661214963578345,0.517474517858961,min_cost_max_flow,37,28,37,2,3,0
remove,"['remove', 20, 6, None]",False,30,2.3988854421666668,0.0,0.0,0.01,0.0,0.0,remove_only,,20,125,6,,
remove,"['remove', 20, 1, None]",False,30,0.061156624124999996,0.0,0.0,0.01,0.0,0.0,remove_only,,20,19,1,,
move,"['move', 20, 2, 0]",True,30,2.330838123177181,0.0,2.5500000000000003,0.21916187682281948,0.3875399957050547,0.29053912271866705,min_cost_max_flow,52,20,52,2,4,0
move,"['move', 20, 3, 0]",True,30,2.2934937620696787,0.0,2.5500000000000003,0.25650623793032146,0.4807743552167665,0.3749012940807294,min_cost_max_flow,70,20,70,3,5,0
add,"['add', 21, None, 0]",True,40,2.5349582984332124,0.0,2.8000000000000003,0.26504170156678797,0.34736177724653317,0.4716369537274707,min_cost_max_flow,175,21,,,11,0
move,"['move', 21, 0, 1]",True,40,1.8474616650739633,0.0,2.1,0.2525383349260368,0.2662936260776405,0.3447933317371952,min_cost_max_flow,3,21,3,0,23,1
move,"['move', 21, 0, 2]",True,40,1.5598922139494467,0.0,2.1,0.5401077860505535,0.983848665717403,1.2571854460900538,min_cost_max_flow,7,21,7,0,52,2
move,"['move', 21, 0, 3]",True,40,1.6008825488673482,0.0,2.1,0.499117451132652,0.8815604102182419,1.1321309156949724,min_cost_max_flow,11,21,11,0,70,3
move,"['move', 28, 0, 2]",True,50,1.9614243715355804,0.0,2.1750000000000003,0.21357562846441985,0.21788634422046016,0.5392364606954774,min_cost_max_flow,1,28,1,0,37,2
move,"['move', 28, 0, 3]",True,50,1.9433155693888005,0.0,2.1750000000000003,0.23168443061119984,0.2633784059005393,0.39253225194271063,min_cost_max_flow,3,28,3,0,56,3
move,"['move', 28, 2, 1]",True,50,1.8908603451766237,0.0,2.1750000000000003,0.28413965482337655,0.39435309766292903,0.5014447639772808,min_cost_max_flow,37,28,37,2,24,1
move,"['move', 28, 2, 3]",True,50,2.012305585152269,0.0,2.1750000000000003,0.16269441484773156,0.09140596927773004,0.05746372803511579,min_cost_max_flow,39,28,39,2,57,3
move,"['move', 21, 0, 4]",True,60,1.9233708967582677,0.0,2.325,0.40162910324173245,0.6376084060993321,1.2862205101023165,min_cost_max_flow,17,21,17,0,73,4
move,"['move', 21, 1, 0]",True,60,2.0091488192619655,0.0,2.325,0.3158511807380345,0.42438146045338954,0.4743134345673503,min_cost_max_flow,23,21,23,1,3,0
move,"['move', 21, 2, 0]",True,60,1.9629973431232135,0.0,2.325,0.3620026568767868,0.5397242733603207,0.4982317278670849,min_cost_max_flow,41,21,41,2,7,0
move,"['move', 21, 2, 1]",True,60,1.7996975851214976,0.0,2.325,0.5253024148785027,0.9471257012633032,1.0635431287385386,min_cost_max_flow,52,21,52,2,23,1
add,"['add', 13, None, 0]",True,70,1.84692351650618,0.0,2.2,0.3530764834938202,0.5130667904801385,0.9915557387213902,min_cost_max_flow,54,13,,,17,0
add,"['add', 13, None, 1]",True,70,1.8579888183213973,0.0,2.2,0.3420111816786029,0.48601359998667704,0.5848463756668398,min_cost_max_flow,43,13,,,26,1
remove,"['remove', 13, 2, None]",False,70,0.05919935374999997,0.0,0.02999999999999997,0.01,0.0,0.0,remove_only,,13,42,2,,
move,"['move', 13, 2, 3]",True,70,1.3035983005435008,0.0,1.6500000000000001,0.3464016994564993,0.4471130450738201,0.50274594739874,min_cost_max_flow,43,13,43,2,61,3
move,"['move', 21, 0, 5]",True,80,0.9952272657812299,0.0,1.8000000000000003,0.8047727342187704,1.6447829338611655,1.7425869639431517,min_cost_max_flow,3,21,3,0,91,5
move,"['move', 21, 0, 6]",True,80,1.085781998400763,0.0,1.8000000000000003,0.7142180015992372,1.4186092923939668,1.6004602428536006,min_cost_max_flow,7,21,7,0,111,6
move,"['move', 21, 1, 2]",True,80,1.4682010576293674,0.0,1.8000000000000003,0.3317989423706329,0.46447391973890717,0.32560996521957736,min_cost_max_flow,23,21,23,1,41,2
move,"['move', 21, 3, 0]",True,80,1.0129108494189496,0.0,1.8000000000000003,0.7870891505810506,1.6002941019206673,1.929168861408851,min_cost_max_flow,65,21,65,3,3,0
move,"['move', 21, 0, 7]",True,90,1.5023183342499227,0.0,2.1750000000000003,0.6726816657500777,1.3151871247368945,1.3213455989693381,min_cost_max_flow,3,21,3,0,130,7
move,"['move', 21, 2, 3]",True,90,1.8081350521572324,0.0,2.1750000000000003,0.3668649478427679,0.5517268257203796,0.6003484311297227,min_cost_max_flow,41,21,41,2,62,3
