chain_length,cycle,destination_node,epoch,failed_stage,failure_reason,feasible,request_id,reward,slot_mod,source_node,start_time_s,template_id,total_delay_s,total_energy_j
10,1,93,1,,,True,3,-33.49831344477567,0,48,5.370725505205694,12,80.77176005383036,1982.6823720725356
10,1,151,1,,,True,2,-33.67074114408397,0,105,6.225186347832171,9,80.11406376823177,2708.5260613187647
5,1,49,1,,,True,1,-17.6853266471361,0,119,8.697384466166925,1,42.78167568052921,954.4272915406934
10,1,87,2,,,True,7,-39.710956259898566,1,94,10.705986600186758,11,95.78577963110693,2327.7406790929826
10,1,161,2,,,True,8,-33.64614321227229,1,109,12.231589342619912,11,80.94189511174375,2115.641945957988
5,1,161,2,,,True,5,-23.959231436267757,1,142,15.543908529064193,5,57.95546010500769,1295.0789904411336
5,1,171,2,,,True,4,-19.203313165041315,1,152,16.547567755631963,3,46.58223572813088,950.6981229816025
5,1,127,2,,,True,6,-18.472908830851296,1,2,17.912950548882364,8,44.63952132471373,1028.5005016096677
10,1,52,2,,,True,9,-36.01218239475964,1,110,19.593139136935186,11,86.61566338236065,2276.5284030256307
10,1,35,3,,,True,15,-41.121496401572266,2,159,20.25008518438474,9,99.17073299253455,2422.005340930733
5,1,75,3,,,True,10,-17.37306632672792,2,127,20.87275122262281,1,41.779682254804335,1101.9890413436442
5,1,144,3,,,True,14,-18.036765007087702,2,76,21.867280535214817,8,43.46141419093529,1086.998884522643
5,1,128,3,,,True,12,-19.854243771703388,2,11,22.689094910253058,8,47.4435245669179,1461.3899082270427
5,1,75,3,,,True,13,-17.296804661615163,2,152,28.20279724909809,8,41.40225242098149,1226.506155370942
5,1,118,3,,,True,11,-13.614763848684351,2,109,28.8471273392711,5,33.09888032384923,625.352865241098
15,1,146,3,,,True,16,-42.35161044811453,2,70,29.544695281611276,13,101.49068278184723,2925.562225626065
5,1,81,4,,,True,19,-25.430182269008338,3,48,30.565693569608154,7,61.85398140414294,1147.649512251931
5,1,69,4,,,True,18,-14.238225982855603,3,119,32.082910660627235,6,34.097246836945175,998.8787467958862
5,1,20,4,,,True,17,-16.41604880666804,3,109,36.28266357479007,3,39.436374787777844,1069.1648192615069
10,1,8,5,,,True,22,-33.32738512328662,4,28,42.87437817894378,10,80.56284851717413,1837.0761940282816
5,1,142,5,,,True,20,-17.212968473978727,4,99,43.26567693806334,6,41.53063014286969,1001.1940280514178
5,1,119,5,,,True,21,-16.81968750593612,4,135,48.1299033450321,7,40.23749868646055,1207.8133855865003
5,1,94,6,,,True,24,-19.820923646536983,5,11,55.4114700826137,4,48.06522424992851,991.3899109426233
5,1,54,6,,,True,23,-17.69011336525557,5,167,59.98262257665739,3,42.86861540114042,904.4453413323376
10,1,62,7,,,True,31,-31.20459925659295,6,178,60.394125140315886,12,75.24306663822463,1845.6210021718266
15,1,164,7,,,True,34,-47.14195149173053,6,152,60.80922277780401,14,113.20694708224865,3098.6210980517876
5,1,53,7,,,True,28,-15.66511396902913,6,82,61.27974700268655,6,37.51480563903728,1098.6528556903636
15,1,25,7,,,True,33,-53.908868768829265,6,64,62.07939603012185,13,129.25414150742014,3678.6869431020123
5,1,65,7,,,True,26,-17.755140298299093,6,21,65.08802493549284,3,43.31119396073541,717.7711900082129
10,1,83,7,,,True,30,-42.036123781458585,6,18,67.17837257145855,9,100.91917158251825,2780.75858075215
5,1,142,7,,,True,25,-21.3050833111375,6,20,67.3487126044422,2,51.36323410305596,1266.3161165251897
15,1,40,7,,,True,32,-49.28661122556239,6,24,69.14617879594286,13,117.97563310476775,3493.929972758808
5,1,112,7,,,True,29,-13.5859312670062,6,164,69.41560875231961,8,32.5127598085914,968.0455726160694
5,1,95,7,,,True,27,-15.663029941781327,6,90,69.68244040534614,4,37.85090139132252,871.1156420871935
10,1,127,8,,,True,37,-36.269782686596336,7,91,70.18214108109562,9,86.91080020273692,2509.104342502611
5,1,76,8,,,True,35,-20.130609663188928,7,147,73.20469311174031,1,48.48080351228218,1230.4804304600866
5,1,144,8,,,True,36,-13.416312793900973,7,55,74.70625832361353,2,32.25717456307346,855.738281119311
