chain_length,data_gb_between_services,destination_node,input_data_gb,output_data_gb,request_template_id,service_workload_cycles,services,source_node,template_id
5,"[2.3855321314558506, 2.7929141667107857, 1.9300891338152777, 2.8515735997701475]",28,2.1946751964021156,1.5045734159429702,1,"[9470285604.736528, 7036312854.019767, 2708506911.0102377, 9821656371.638311, 2393251280.184576]","[11, 12, 8, 30, 19]",94,1
5,"[1.6391076429997224, 2.3693118589616633, 2.7727263262814015, 1.3693727315423567]",128,2.8481343164483723,1.0225725478449001,2,"[2417534974.1516123, 7867981037.545349, 9470285604.736528, 3685529895.958727, 7346227490.065907]","[15, 3, 11, 9, 25]",170,2
5,"[1.7249240639570222, 1.479376300559051, 1.9126830226525775, 1.6544592029562528]",4,2.4785520247988067,1.9645206393420456,3,"[2708506911.0102377, 7941027997.246011, 2549797553.4105844, 8251015254.0183115, 2417534974.1516123]","[8, 23, 16, 22, 15]",23,3
5,"[1.848090830442297, 1.1272882354061546, 2.3708927561403392, 1.6572711688639763]",135,2.819527464655698,2.251539890908413,4,"[2417534974.1516123, 4111184005.118202, 3461750759.8134966, 7346227490.065907, 9470285604.736528]","[15, 1, 17, 25, 11]",63,4
5,"[0.9831116811587584, 2.7933583620158733, 2.6712055034496127, 1.0334552570355129]",179,1.3339267612121648,1.349964352312629,5,"[5564604801.570165, 1245682787.7561808, 5768330401.5401125, 2708506911.0102377, 9896574376.22456]","[20, 28, 14, 8, 21]",54,5
5,"[1.0408562914578372, 2.2637536581701108, 1.9310117171310985, 0.9517294184748102]",86,2.4119931339121052,3.194730573668731,6,"[3807615199.5522566, 5564604801.570165, 8251015254.0183115, 9967452036.861397, 5564604801.570165]","[2, 20, 22, 29, 20]",6,6
5,"[1.6221488815331955, 1.5111337041715205, 2.241251655048241, 0.7233444979657664]",151,2.4959873884665944,2.1238157125826698,7,"[2393251280.184576, 5564604801.570165, 8644068390.340364, 4111184005.118202, 8589786670.7611065]","[19, 20, 10, 1, 26]",42,7
5,"[2.2905657379227113, 2.6993892707160083, 2.4301464396279195, 2.4433530562875023]",74,1.2854700413878866,2.402838590323037,8,"[6136013845.602437, 9821656371.638311, 3807615199.5522566, 8589786670.7611065, 1245682787.7561808]","[24, 30, 2, 26, 28]",168,8
10,"[1.2458279642075407, 2.1677401196653494, 2.261605136824274, 1.3728296838969007, 3.0911549456915988, 0.5, 1.7991394634538442, 3.6001667662988166, 1.8594308884336344]",42,1.6920760023057397,1.750052366249359,9,"[5564604801.570165, 5768330401.5401125, 1539828801.737619, 2393251280.184576, 4447629331.081954, 9896574376.22456, 8644068390.340364, 7346227490.065907, 8589786670.7611065, 2708506911.0102377]","[20, 14, 5, 19, 13, 21, 10, 25, 26, 8]",103,9
10,"[2.3925924847311273, 2.575992126554955, 1.5099424510629968, 1.2423599283872615, 2.710544981176069, 2.4429590563965404, 2.550589684857069, 1.9692423442039322, 2.34214189498732]",43,2.1545128204633257,1.3639831189683094,10,"[2549797553.4105844, 5768330401.5401125, 3793525160.5533195, 2549797553.4105844, 7105414103.560729, 1245682787.7561808, 2549797553.4105844, 5564604801.570165, 9470285604.736528, 4447629331.081954]","[16, 14, 27, 16, 6, 28, 16, 20, 11, 13]",92,10
10,"[3.1844471208874596, 1.666723024351868, 1.6528868162020096, 2.261288533700946, 1.7640733707710963, 2.509820289329243, 2.721745791487093, 3.098194223147947, 1.8288930726965034]",97,1.5573587947031595,2.5904034450796694,11,"[7346227490.065907, 3793525160.5533195, 9896574376.22456, 4447629331.081954, 4447629331.081954, 7105414103.560729, 3461750759.8134966, 3461750759.8134966, 8644068390.340364, 7689769349.676591]","[25, 27, 21, 13, 13, 6, 17, 17, 10, 7]",142,11
10,"[0.8430364283087737, 2.4283552666602413, 1.3633069636571882, 2.4369962405419074, 2.492830222846847, 1.6154886825493369, 1.0754227518511739, 2.4923888496464515, 3.0541344417863305]",171,1.9121296299913928,2.5075830186069252,12,"[2417534974.1516123, 3807615199.5522566, 1245682787.7561808, 3685529895.958727, 7941027997.246011, 7105414103.560729, 9821656371.638311, 3793525160.5533195, 1245682787.7561808, 2393251280.184576]","[15, 2, 28, 9, 23, 6, 30, 27, 28, 19]",54,12
15,"[2.220709045546665, 2.3221266745339184, 1.6791512003332358, 1.5218840454195475, 1.5447622904922478, 2.342943464942451, 1.0865548145264177, 2.422263781036153, 3.1210561956057523, 1.6420967753587896, 0.9292773861663413, 1.8387960143833402, 1.0861149062022752, 1.9246722494108215]",168,1.857888046127911,0.8448219205770429,13,"[8644068390.340364, 4111184005.118202, 4111184005.118202, 3885704339.802461, 5768330401.5401125, 2393251280.184576, 8189741075.568389, 1539828801.737619, 6136013845.602437, 7941027997.246011, 9896574376.22456, 8189741075.568389, 1245682787.7561808, 7867981037.545349, 9896574376.22456]","[10, 1, 1, 18, 14, 19, 4, 5, 24, 23, 21, 4, 28, 3, 21]",159,13
15,"[1.361567093458691, 2.934660933007426, 2.2631392628578433, 1.9725836754205928, 1.6211294177169595, 3.1427041953741695, 2.4118116217122667, 2.2387930474795703, 0.5428951541157003, 1.9730867549387618, 2.0475827663917228, 1.2584170654275444, 2.5608938837671293, 2.2091879199276]",146,1.5736780907476913,3.0509687319413796,14,"[9896574376.22456, 1539828801.737619, 5768330401.5401125, 7689769349.676591, 3461750759.8134966, 7036312854.019767, 3461750759.8134966, 4447629331.081954, 4447629331.081954, 1245682787.7561808, 7689769349.676591, 8251015254.0183115, 7867981037.545349, 8589786670.7611065, 9896574376.22456]","[21, 5, 14, 7, 17, 12, 17, 13, 13, 28, 7, 22, 3, 26, 21]",40,14
