chain_length,cycle,destination_node,epoch,failed_stage,failure_reason,feasible,request_id,reward,slot_mod,source_node,start_time_s,template_id,total_delay_s,total_energy_j
10,1,8,1,,,True,6,-38.74608366740845,0,7,1.496693125152797,9,91.85366064850837,3341.032346675169
5,1,56,1,,,True,1,-16.26282586114286,0,9,4.369876596427872,2,39.606266432150264,700.5321471379277
5,1,30,1,,,True,3,-20.05582817321812,0,46,5.259892997329379,4,47.05705206447418,2055.012245714078
5,1,4,1,,,True,4,-14.85067073833049,0,3,6.47453208945514,6,35.043350329370554,1388.8843443037795
5,1,1,1,,,True,5,-15.131653301508175,0,16,7.706046411639397,8,35.771157557733765,1371.9837973577805
5,1,56,1,,,True,2,-9.927412173326926,0,9,9.967752331922567,2,24.018347390592034,533.4553618168518
5,1,9,2,,,True,8,-17.570547439556773,1,14,11.497616485847187,3,41.87834881556005,1365.346522221253
5,1,11,2,,,True,9,-17.041795671500246,1,15,15.283838885573443,3,40.342535518930106,1507.9691065470033
10,1,7,2,,,True,11,-33.46470161875806,1,1,15.449592129684646,11,78.59657567785653,3376.7855793590857
5,1,53,2,,,True,7,-14.8198735272125,1,9,16.88797976523511,2,36.04454093304285,670.0952566589284
5,1,3,2,,,True,10,-16.363348051830666,1,58,19.95441057998773,5,38.687463042107126,1480.604724979691
15,1,31,3,,,True,14,-61.47552920418186,2,5,22.271731807335087,14,144.4680686281639,6147.169588193827
5,1,13,3,,,True,12,-18.624009529329893,2,44,23.876672647696292,4,43.620222005732316,1959.867878394947
5,1,16,3,,,True,13,-13.889973858894272,2,4,26.27333890334496,6,32.822576449047574,1268.2387987920704
5,1,4,4,,,True,18,-21.920091967389027,3,66,30.081801205967093,5,51.381921000712765,2278.872611839869
5,1,11,4,,,True,15,-19.368618472313308,3,4,32.01222595395195,1,45.44224865569213,1986.198350060755
5,1,32,4,,,True,16,-18.67673727876118,3,46,32.816184637512265,4,43.667138125480676,2016.47004761485
10,1,15,4,,,True,21,-29.02285288439849,3,25,33.96530129979813,10,68.51469637906482,2694.957221287598
5,1,4,4,,,True,17,-15.068462714908579,3,58,34.284633288860775,5,35.29611135841371,1583.3636192384909
