action,arm_key,cross_orbit_transfer,epoch,estimated_reward,execution_feedback_reward,expected_saving,migration_cost,migration_delay_s,migration_energy_j,migration_route_mode,selected_source_node,service_id,source_node,source_plane,target_node,target_plane
add,"['add', 6, None, 6]",True,10,2.931269815646256,0.0,3.2260967733385324,0.2948269576922761,0.2719354701095864,0.5998586828934761,min_cost_max_flow,94,6,,,110,6
add,"['add', 21, None, 3]",True,10,2.4668717968214517,0.0,2.829271622964286,0.362399826142834,0.5087752640443577,1.3997605785932266,min_cost_max_flow,1,21,,,55,3
add,"['add', 21, None, 6]",True,10,2.4269802615615514,0.0,2.829271622964286,0.40229136140273425,0.6097094361352224,0.5962046178505293,min_cost_max_flow,98,21,,,112,6
add,"['add', 21, None, 4]",True,10,2.6002053235665086,0.0,2.829271622964286,0.22906629939777717,0.17684853341982998,0.4617030865170381,min_cost_max_flow,55,21,,,73,4
add,"['add', 8, None, 6]",True,20,2.377670734194404,0.0,2.620637022454592,0.2429662882601875,0.3226720996900241,0.24311189356773075,min_cost_max_flow,97,8,,,113,6
add,"['add', 8, None, 7]",True,20,2.4036120618718493,0.0,2.620637022454592,0.21702496058274248,0.2577328142754567,0.3004227075376577,min_cost_max_flow,113,8,,,129,7
add,"['add', 8, None, 0]",True,20,2.2779826703513835,0.0,2.620637022454592,0.3426543521032083,0.5710631635537595,0.7958423894454991,min_cost_max_flow,129,8,,,1,0
add,"['add', 3, None, 3]",True,20,1.668573276799295,0.0,2.3301509125844153,0.6615776357851203,1.1946762533578834,2.269117373687533,min_cost_max_flow,14,3,,,56,3
add,"['add', 3, None, 2]",True,30,1.9539835578778622,0.0,2.2292191163966817,0.27523555851881965,0.2314366550569673,0.5253874637972946,min_cost_max_flow,56,3,,,37,2
add,"['add', 3, None, 4]",True,30,1.895204201027732,0.0,2.2292191163966817,0.3340149153689498,0.3784117356076422,0.5075951802310096,min_cost_max_flow,56,3,,,75,4
add,"['add', 3, None, 1]",True,30,1.9187416768214827,0.0,2.2292191163966817,0.3104774395751989,0.3192763388891251,0.7020666696575898,min_cost_max_flow,37,3,,,22,1
add,"['add', 21, None, 2]",True,30,1.6616305014044752,0.0,1.9335505170538778,0.27192001564940266,0.2837777078501631,0.5984472190040937,min_cost_max_flow,55,21,,,39,2
move,"['move', 13, 6, 3]",True,40,3.0654650693937877,0.0,1.8259676214935245,1.17038826443307,2.6878661349144295,0.4346249344830117,min_cost_max_flow,125,13,125,6,57,3
add,"['add', 8, None, 1]",True,40,2.506320306931235,0.0,2.839180388937908,0.33286008200667283,0.5461607134875521,1.07369227269132,min_cost_max_flow,1,8,,,23,1
add,"['add', 13, None, 3]",False,40,2.315630408549147,0.0,2.4346234953246992,0.1189930867755521,0.10992216575755265,0.07197494320416539,min_cost_max_flow,57,13,,,58,3
add,"['add', 13, None, 8]",True,40,2.316502773346943,0.0,2.4346234953246992,0.1181207219777562,0.1077213506586645,0.08524367946971517,min_cost_max_flow,164,13,,,146,8
add,"['add', 3, None, 6]",True,50,1.9690006443697405,0.0,2.542188591631438,0.5731879472616975,0.9752244805481496,1.2541517078054154,min_cost_max_flow,75,3,,,114,6
add,"['add', 21, None, 7]",True,50,1.7234193542235505,0.0,2.0358012122904747,0.31238185806692426,0.3847241602207987,0.7372163344496805,min_cost_max_flow,112,21,,,130,7
move,"['move', 3, 0, 6]",True,50,1.022549509255423,0.0,1.9066414437235784,1.0233218769681554,2.049694467626864,1.8307098327590534,min_cost_max_flow,10,3,10,0,116,6
move,"['move', 3, 0, 5]",True,50,0.9682716213626966,0.0,1.9066414437235784,0.9383698223608817,1.8358759765194463,2.7896128922478565,min_cost_max_flow,14,3,14,0,91,5
move,"['move', 8, 0, 6]",True,60,1.6376186714048475,0.0,2.274338594062962,0.6367199226581146,1.2548597316651353,1.7074145733721118,min_cost_max_flow,1,8,1,0,117,6
move,"['move', 8, 1, 0]",True,60,1.7126072747354844,0.0,2.274338594062962,0.5617313193274779,1.0675798100691622,1.5796900862929328,min_cost_max_flow,23,8,23,1,14,0
move,"['move', 8, 2, 0]",True,60,1.7334754728630226,0.0,2.274338594062962,0.5408631211999395,1.0155412468913028,1.4917353256351977,min_cost_max_flow,43,8,43,2,1,0
move,"['move', 8, 3, 0]",True,60,1.7148445447281893,0.0,2.274338594062962,0.5594940493347729,1.0623854060791018,1.3138427584914425,min_cost_max_flow,64,8,64,3,3,0
move,"['move', 8, 0, 3]",True,70,2.027347274319598,0.0,2.5693443671900806,0.5419970928704825,1.0182551634258061,1.5724104202046025,min_cost_max_flow,1,8,1,0,64,3
move,"['move', 8, 0, 2]",True,70,1.9671219449200052,0.0,2.5693443671900806,0.6022224222700754,1.1694186881981068,1.1722762379922869,min_cost_max_flow,3,8,3,0,43,2
move,"['move', 8, 0, 1]",True,70,1.9866622987100542,0.0,2.5693443671900806,0.5826820684800265,1.1198392413081137,1.6579845145728649,min_cost_max_flow,14,8,14,0,23,1
move,"['move', 8, 4, 3]",True,70,2.0449359937966167,0.0,2.5693443671900806,0.5244083733934638,0.9748563100596357,1.1904468692872383,min_cost_max_flow,88,8,88,4,59,3
add,"['add', 28, None, 0]",True,80,1.658466933204248,0.0,1.929489015721169,0.27102208251692095,0.38577210835171627,0.5660860288013952,min_cost_max_flow,29,28,,,14,0
add,"['add', 28, None, 3]",True,80,1.6595654490340017,0.0,1.929489015721169,0.26992356668716744,0.3831271681965518,0.49851974932185905,min_cost_max_flow,74,28,,,60,3
add,"['add', 28, None, 8]",True,80,1.5684065310325175,0.0,1.929489015721169,0.3610824846886517,0.6107331830708063,0.6927065022926056,min_cost_max_flow,172,28,,,148,8
move,"['move', 21, 0, 9]",True,80,1.5989389097975697,0.0,1.8983505378955432,0.2994116280979736,0.30276759984769797,0.4245399682657708,min_cost_max_flow,1,21,1,0,163,9
add,"['add', 25, None, 4]",True,90,1.8807862612050597,0.0,2.141419389303885,0.2606331280988254,0.2972534139119034,0.5536901050455492,min_cost_max_flow,103,25,,,88,4
add,"['add', 25, None, 2]",True,90,1.8293890392236072,0.0,2.141419389303885,0.3120303500802779,0.42538199601892757,0.7966720027836283,min_cost_max_flow,36,25,,,41,2
