chain_length,data_gb_between_services,destination_node,input_data_gb,output_data_gb,request_template_id,service_workload_cycles,services,source_node,template_id
5,"[0.7473712884515402, 2.897561320760231, 1.9599732337185272, 1.4222833906880028]",13,0.5,1.70180509569062,1,"[9079834114.214539, 9394045576.18289, 2061689095.0818245, 3830367646.1383896, 5914952491.333754]","[6, 15, 21, 27, 1]",8,1
5,"[1.7339596951078962, 1.9940776892207341, 2.327748399039513, 1.410540563164602]",3,2.308169958886396,0.5398380790856097,2,"[8212025219.832492, 2061689095.0818245, 2608811001.0546412, 9482164903.370571, 1797113590.376858]","[24, 21, 3, 14, 22]",6,2
5,"[1.0829539878980383, 1.9547139928672443, 1.8511543709835505, 0.7493833236780996]",1,1.8530217200238763,1.876328346431028,3,"[6202097595.892669, 9326049668.367817, 1718087155.785781, 9390745911.663256, 3087473948.343918]","[9, 5, 30, 13, 18]",3,3
5,"[2.067244852605802, 2.2216464782280365, 0.8120089417087375, 3.1979540317640804]",11,2.078972079277604,1.6522060693814828,4,"[7289711026.241441, 2061689095.0818245, 3830367646.1383896, 9390745911.663256, 9079834114.214539]","[26, 21, 27, 13, 6]",4,4
5,"[3.1024784337057, 2.3024576448132423, 1.932514912008625, 0.5902538720873505]",1,2.049424099489139,1.6929863913450258,5,"[2061689095.0818245, 2504607951.341259, 5914952491.333754, 8212025219.832492, 3087473948.343918]","[21, 17, 1, 24, 18]",4,5
5,"[1.2338397350924444, 2.458581617486689, 2.5085351657062667, 2.268882322786171]",3,2.7513520209467366,0.5822092132846206,6,"[1718087155.785781, 4008480464.4711685, 3431814238.1443086, 2608811001.0546412, 6202097595.892669]","[30, 20, 23, 3, 9]",4,6
5,"[1.6890807606896836, 2.9058232245802342, 1.4086538828001667, 2.7245863300519053]",17,2.4284121261451466,1.5418338483063587,7,"[7289711026.241441, 2321185390.8475, 3431814238.1443086, 7871192322.923848, 2321185390.8475]","[26, 8, 23, 25, 8]",4,7
5,"[2.814136432583846, 1.6179723835581377, 3.4105664381846705, 2.1839994381371324]",4,1.8639280360774668,2.1283655558420915,8,"[2061689095.0818245, 2608811001.0546412, 3830367646.1383896, 3431814238.1443086, 7940485736.761885]","[21, 3, 27, 23, 29]",1,8
10,"[1.6044904927020265, 3.26285803859284, 2.3701563483150476, 2.2099176108798164, 1.4017638152752034, 2.675874571036444, 1.112981326627951, 2.1671602271510464, 1.482015772347222]",13,3.51150138514648,0.8928327792191566,9,"[2057130539.8966694, 1718087155.785781, 6516018632.380808, 9482164903.370571, 6516018632.380808, 3431814238.1443086, 5914952491.333754, 3431814238.1443086, 2061689095.0818245, 9326049668.367817]","[7, 30, 28, 14, 28, 23, 1, 23, 21, 5]",12,9
10,"[1.1199688524462785, 2.273966597878607, 2.4387929455310164, 2.255258061939227, 1.0709348538961865, 1.488032216875139, 2.769203864528705, 1.5584060177561667, 1.7178918690965541]",3,2.8083367979286864,1.3344223632511922,10,"[6528643941.948192, 9942077666.040367, 7871192322.923848, 7524333329.117691, 7524333329.117691, 3830367646.1383896, 2608811001.0546412, 6202097595.892669, 9942077666.040367, 9942077666.040367]","[19, 12, 25, 2, 2, 27, 3, 9, 12, 12]",5,10
10,"[1.0787621650049841, 1.7971195873812518, 2.5493977630401687, 2.203827444715617, 1.647448105021182, 2.348311345559054, 1.757050794439355, 2.0484750621720855, 1.602049986103546]",17,3.4698981107422453,2.7719375469882337,11,"[7524333329.117691, 4420860085.813428, 1718087155.785781, 9394045576.18289, 3431814238.1443086, 2061689095.0818245, 4420860085.813428, 3431814238.1443086, 6516018632.380808, 2321185390.8475]","[2, 16, 30, 15, 23, 21, 16, 23, 28, 8]",13,11
10,"[2.183080332014014, 0.5998397014249903, 2.3929978523073423, 2.606599905282617, 1.1671325262113825, 2.6027703825648025, 1.8503011394749136, 3.4789280885254104, 1.838473768018359]",3,1.6590414758595873,3.279969569317924,12,"[9942077666.040367, 9390745911.663256, 2057130539.8966694, 5842220882.050365, 3830367646.1383896, 6528643941.948192, 2504607951.341259, 2057130539.8966694, 9394045576.18289, 9482164903.370571]","[12, 13, 7, 4, 27, 19, 17, 7, 15, 14]",4,12
15,"[1.9967759490123678, 2.0523945530138024, 1.4098705485144487, 2.2620521169392167, 1.447302972134899, 2.222297810068773, 2.423613741946107, 2.19190282518194, 1.698104074583981, 3.9273747393486076, 2.8153713241795146, 1.6530450373550465, 2.609281042262478, 1.4005712334640963]",13,1.1093975430819532,1.9295241991687053,13,"[1097620184.0375323, 8212025219.832492, 2061689095.0818245, 1718087155.785781, 2057130539.8966694, 3879948339.8529005, 2057130539.8966694, 4420860085.813428, 6528643941.948192, 9482164903.370571, 3431814238.1443086, 7940485736.761885, 7524333329.117691, 4008480464.4711685, 7524333329.117691]","[10, 24, 21, 30, 7, 11, 7, 16, 19, 14, 23, 29, 2, 20, 2]",12,13
15,"[2.6722481376672116, 2.523208197045209, 1.8469770283958062, 1.8609904576931744, 1.7980370737219638, 2.3322671454680597, 1.5173274098188438, 1.0482047230566611, 1.0359825545894383, 0.9883185252864135, 1.9083931824194844, 2.554619966724824, 1.9496060964736455, 2.3598235546725115]",3,1.8018881941460378,2.4426021078525277,14,"[1718087155.785781, 9079834114.214539, 7524333329.117691, 6528643941.948192, 9942077666.040367, 3830367646.1383896, 2504607951.341259, 7524333329.117691, 9079834114.214539, 7289711026.241441, 2504607951.341259, 9390745911.663256, 1797113590.376858, 2321185390.8475, 2057130539.8966694]","[30, 6, 2, 19, 12, 27, 17, 2, 6, 26, 17, 13, 22, 8, 7]",13,14
