chain_length,cycle,destination_node,epoch,failed_stage,failure_reason,feasible,request_id,reward,slot_mod,source_node,start_time_s,template_id,total_delay_s,total_energy_j
5,1,9,1,,,True,1,-5.955006046916774,0,4,2.4880522090130484,4,13.832922179128182,703.0619587758329
10,1,1,1,,,True,4,-14.51790957200369,0,3,5.207843161026603,9,33.960742017328506,1556.0212751204767
10,1,7,1,,,True,5,-17.930871372881352,0,18,5.489846232882803,11,41.38116096126856,2297.344980623207
5,1,4,1,,,True,3,-8.540787623872458,0,29,8.533406355145566,8,19.902596817030755,966.2481617669266
5,1,3,1,,,True,2,-8.570730699778922,0,11,8.56821878545716,8,19.978584583282938,965.4947774429122
10,1,7,1,,,True,6,-22.752415502603192,0,9,8.765227772579768,12,53.06535437305434,2543.7895889690903
5,1,5,2,,,True,7,-8.438241569356352,1,3,13.877102444053424,1,19.624679267260493,980.6164374202585
5,1,4,2,,,True,10,-7.581214634902049,1,39,15.840440983802996,8,17.572385591690836,920.4339970428584
5,1,4,2,,,True,9,-7.707105967844756,1,1,17.756759585829634,6,17.720222900012566,1031.6946797328822
5,1,3,2,,,True,8,-9.319699665021998,1,9,19.425436686627243,3,21.84134189822864,971.9381762175695
10,1,9,3,,,True,12,-15.576921248458277,2,1,26.1853095951951,11,36.118289944788884,1882.6754509045354
5,1,4,3,,,True,11,-8.61873123754912,2,1,29.16811120201043,6,19.969006538782473,1051.8810367268854
5,1,1,4,,,True,14,-8.924123746536262,3,4,31.73548531241005,5,20.47509223084122,1223.478090332957
5,1,9,4,,,True,13,-10.468705938067812,3,3,34.67932044551325,4,24.3087739925791,1241.9939017269542
10,1,1,4,,,True,15,-18.06988515465871,3,16,38.282627712415035,9,42.07006306191494,2069.7665498212223
5,1,4,5,,,True,17,-9.945695982766004,4,1,47.90446575781175,6,23.140704718228818,1149.023492457463
10,1,1,5,,,True,18,-15.107593040597994,4,35,48.08261524977395,11,35.27622837807367,1661.836148947542
5,1,9,5,,,True,16,-9.449095133906493,4,3,49.515354531912884,4,21.74357468985567,1252.7754299403755
5,1,24,6,,,True,22,-10.293920562641977,5,35,50.772153496260565,7,23.85511136499253,1253.1266944082731
10,1,1,6,,,True,23,-17.285047090828428,5,3,52.82898375827723,9,40.480369452938874,1821.4988494214656
15,1,18,6,,,True,25,-22.787452533541344,5,1,54.575155904732675,14,53.37626400342854,2394.911553616545
15,1,8,6,,,True,24,-23.435470115491484,5,17,56.7676419657895,13,55.047303750896866,2360.914358554563
5,1,1,6,,,True,19,-6.184543678686776,5,3,57.07728784578635,2,14.872604480159872,392.50314437137786
5,1,4,6,,,True,21,-8.644002356986956,5,3,58.49577256887046,4,19.792060795703,1211.9633978429267
5,1,16,6,,,True,20,-10.40811346992058,5,11,58.50182765910748,3,24.566219550701078,969.3760827335823
5,1,1,7,,,True,27,-5.642355951380313,6,3,62.01493172671362,2,13.504972633357077,400.6114967291372
5,1,11,7,,,True,28,-11.118739770429496,6,3,62.61620725744983,4,25.462211577621346,1556.4252323015933
10,1,1,7,,,True,30,-17.380332005966732,6,18,62.819963079588916,9,40.51037939772138,1960.30041146363
10,1,1,7,,,True,31,-17.537314528760156,6,3,64.24683866408985,10,41.25228419076569,1727.3347540897926
5,1,6,7,,,True,26,-5.651263907681783,6,3,65.83412645743002,2,13.529743453510761,398.9442104624636
5,1,4,7,,,True,29,-9.592179946194147,6,1,69.10805789322059,7,22.488475135424807,994.6498200403734
15,1,4,7,,,True,32,-21.632290151026307,6,17,69.86604956286861,13,50.63477462773855,2297.300499884808
5,1,4,8,,,True,37,-6.049152500410351,7,39,71.11442792501818,8,14.158926141060519,642.6367399769046
15,1,3,8,,,True,38,-21.22501097742946,7,13,71.24328841521579,13,49.64219484797583,2280.2217303985435
5,1,4,8,,,True,35,-5.9770044706673975,7,12,71.26912331313221,8,14.020705505412991,614.5371141703345
5,1,3,8,,,True,36,-6.2994283771493125,7,29,74.75035308032375,8,14.758569236761574,660.0011374078052
15,1,22,8,,,True,39,-22.79717234566718,7,3,75.53264186184389,14,53.661758230274714,2220.7817559288196
5,1,8,8,,,True,33,-11.085570543298035,7,3,77.7214982427539,4,25.495739019677444,1478.7915590450932
5,1,1,8,,,True,34,-10.493524286662929,7,15,78.90026273067485,6,24.510043925000787,1149.177861104357
5,1,4,9,,,True,41,-11.355298240968066,8,1,81.61427013816855,6,26.57818996112111,1206.7037608660341
5,1,23,9,,,True,43,-12.148093652841338,8,18,83.01133935730356,7,28.637219837805276,1155.3428628653785
5,1,3,9,,,True,42,-10.21311972174198,8,15,89.9918477812262,6,24.081937044758448,967.2415063976676
5,1,4,9,,,True,40,-10.16966318985586,8,1,89.99204359330393,6,23.97285235323713,967.5370809350134
15,1,16,10,,,True,47,-24.19388879521761,9,1,91.11160788579934,14,56.87335414854158,2407.578559668294
15,1,22,10,,,True,46,-25.21310655709788,9,3,91.97400421936047,14,59.18429183996693,2565.6497018518453
10,1,1,10,,,True,45,-16.46781334621752,9,16,96.50255522673413,10,38.63006661368826,1692.9778345703578
5,1,5,10,,,True,44,-7.575211415431757,9,3,98.1332900449267,1,17.808108318140953,753.2801469589589
10,1,16,11,,,True,51,-16.674416612283167,10,3,100.39057212354071,9,38.8498822252058,1890.7728703347448
5,1,1,11,,,True,48,-9.63992665772862,10,9,101.31279170972381,3,22.803886316831566,863.9535516599882
5,1,9,11,,,True,49,-9.301925275164178,10,3,104.42128980330538,4,21.493430565726186,1174.255081456172
10,1,1,11,,,True,52,-15.580668276096727,10,18,104.96400577422732,9,36.327681443343195,1749.3261645990815
5,1,3,11,,,True,50,-8.530344635405966,10,1,108.33153858704242,6,19.57980916011128,1164.034952269086
5,1,9,12,,,True,55,-8.480349955173171,11,3,111.33851036781195,4,19.61009587701011,1060.5193406152102
10,1,7,12,,,True,57,-19.956522432868024,11,18,112.45034307901814,11,46.60957065917195,2187.8236153320736
5,1,4,12,,,True,53,-6.392788441627903,11,1,118.3920915461681,2,15.282708918664525,466.17479027015315
5,1,4,12,,,True,56,-9.75970477143317,11,1,118.40174855325624,6,22.685769353080318,1142.3283836684066
5,1,11,12,,,True,54,-7.826531445849056,11,3,119.42113825702872,4,18.136079215919082,953.4995991357035
10,1,16,13,,,True,60,-15.044953389786599,12,1,122.33874099838512,9,35.350686455685135,1507.798012520907
5,1,18,13,,,True,59,-9.660615918524076,12,9,127.1966472754751,3,22.609209682039335,1028.2200761805705
5,1,16,13,,,True,58,-9.520947870825475,12,11,129.59789680308666,3,22.091841836132517,1140.351893954113
15,1,8,14,,,True,65,-22.016429769009864,13,16,132.69188653438573,13,51.51182888532412,2352.8303581336895
5,1,3,14,,,True,61,-9.53086149989734,13,8,133.83544372307506,3,22.420971609624445,937.4547600792691
5,1,1,14,,,True,62,-7.341965853094184,13,4,136.6509052047814,5,16.856972339091442,998.6281957626785
10,1,1,14,,,True,64,-15.461755070068367,13,3,137.2724141645146,9,36.15782466039951,1664.375343180935
